n,m,fidelity_avg
500,3,0.9815027264002498
501,3,0.9816549673352272
502,3,0.981616907101483
503,3,0.9816549673352274
504,3,0.9816549673352271
505,3,0.9817310878027157
506,3,0.981540786633994
507,3,0.9816930275689715
508,3,0.9817310878027159
509,3,0.9817691480364601
510,3,0.9819213889714377
511,3,0.9819213889714378
512,3,0.9819213889714377
513,3,0.9821878106076479
514,3,0.9820355696726705
515,3,0.9820355696726705
516,3,0.9821116901401592
517,3,0.9815407866339941
518,3,0.9816169071014829
519,3,0.9818833287376932
520,3,0.9817691480364601
521,3,0.9818452685039489
522,3,0.9817691480364601
523,3,0.981845268503949
524,3,0.9820736299064149
525,3,0.9817691480364602
526,3,0.9818072082702044
527,3,0.981883328737693
528,3,0.9818072082702043
529,3,0.9819213889714373
530,3,0.9821116901401588
531,3,0.9819975094389259
532,3,0.9820736299064146
533,3,0.9819975094389259
534,3,0.9821878106076477
535,3,0.9819975094389258
536,3,0.9822639310751363
537,3,0.9819213889714372
538,3,0.9816930275689711
539,3,0.9817691480364598
540,3,0.9819594492051815
541,3,0.9816549673352268
542,3,0.9818072082702041
543,3,0.9818072082702041
544,3,0.9818452685039487
545,3,0.982111690140159
546,3,0.9819213889714373
547,3,0.9819213889714371
548,3,0.9819213889714371
549,3,0.9819594492051816
550,3,0.9818833287376929
551,3,0.9820355696726704
552,3,0.9818452685039486
553,3,0.9816169071014826
554,3,0.9820736299064147
555,3,0.9822639310751364
556,3,0.9820355696726704
557,3,0.9819213889714374
558,3,0.9819594492051817
559,3,0.9817310878027158
560,3,0.9817691480364601
561,3,0.9820355696726705
562,3,0.9818072082702046
563,3,0.9816930275689717
564,3,0.9818833287376932
565,3,0.9816549673352271
566,3,0.9818072082702044
567,3,0.9821497503739034
568,3,0.9822639310751365
569,3,0.982225870841392
570,3,0.9823019913088809
571,3,0.9819975094389262
572,3,0.9819213889714373
573,3,0.9819213889714375
574,3,0.9818452685039489
575,3,0.9816549673352271
576,3,0.9816169071014829
577,3,0.9813504854652724
578,3,0.9815788468677383
579,3,0.9815027264002498
580,3,0.9812743649977838
581,3,0.9813504854652725
582,3,0.9813124252315281
583,3,0.9814266059327611
584,3,0.9818072082702046
585,3,0.9818833287376932
586,3,0.9816930275689715
587,3,0.9818452685039489
588,3,0.981845268503949
589,3,0.9815407866339944
590,3,0.9815027264002502
591,3,0.9815788468677386
592,3,0.9815788468677383
593,3,0.9817310878027157
594,3,0.9816549673352271
595,3,0.9815027264002498
596,3,0.9812743649977835
597,3,0.9811601842965506
598,3,0.9814646661665056
599,3,0.9814646661665055
600,3,0.9817310878027157
601,3,0.9813504854652723
602,3,0.9811601842965508
603,3,0.9812363047640397
604,3,0.9813124252315282
605,3,0.9813124252315282
606,3,0.9815788468677387
607,3,0.9816169071014831
608,3,0.9812743649977839
609,3,0.981274364997784
610,3,0.9812363047640397
611,3,0.9813124252315283
612,3,0.9811982445302952
613,3,0.9811982445302952
614,3,0.9812743649977839
615,3,0.981388545699017
616,3,0.9815027264002499
617,3,0.9813124252315281
618,3,0.9811221240628064
619,3,0.9809318228940848
620,3,0.980855702426596
621,3,0.9807795819591072
622,3,0.980969883127829
623,3,0.9807795819591072
624,3,0.9808176421928515
625,3,0.9808937626603401
626,3,0.980969883127829
627,3,0.9808176421928515
628,3,0.9809698831278287
629,3,0.9807415217253631
630,3,0.9807795819591075
631,3,0.9806654012578744
632,3,0.9808557024265961
633,3,0.9809698831278293
634,3,0.9808557024265961
635,3,0.9809318228940849
636,3,0.9806654012578747
637,3,0.980703461491619
638,3,0.9807415217253632
639,3,0.9807034614916189
640,3,0.9807795819591074
641,3,0.9810840638290622
642,3,0.9810460035953179
643,3,0.9811221240628064
644,3,0.9813124252315281
645,3,0.9813124252315281
646,3,0.9813124252315282
647,3,0.9809318228940846
648,3,0.9809318228940846
649,3,0.9808557024265958
650,3,0.9808557024265959
651,3,0.9810079433615735
652,3,0.9810079433615736
653,3,0.9811221240628066
654,3,0.9810840638290621
655,3,0.9811221240628063
656,3,0.9810079433615734
657,3,0.9807034614916185
658,3,0.9808176421928515
659,3,0.9808557024265958
660,3,0.9809698831278287
661,3,0.98089376266034
662,3,0.9808937626603401
663,3,0.9809318228940846
664,3,0.980969883127829
665,3,0.9806654012578745
666,3,0.980741521725363
667,3,0.980741521725363
668,3,0.9806654012578744
669,3,0.980969883127829
670,3,0.9809318228940848
671,3,0.9810079433615734
672,3,0.9810079433615735
673,3,0.9810460035953176
674,3,0.9807795819591073
675,3,0.9807795819591073
676,3,0.9808176421928515
677,3,0.9811601842965507
678,3,0.9812363047640393
679,3,0.9812743649977838
680,3,0.9815027264002497
681,3,0.9813885456990167
682,3,0.981312425231528
683,3,0.9811601842965506
684,3,0.9812743649977838
685,3,0.9813885456990167
686,3,0.9813885456990167
687,3,0.9811601842965507
688,3,0.9813124252315282
689,3,0.9815027264002499
690,3,0.9815788468677386
691,3,0.9815788468677387
692,3,0.9816930275689715
693,3,0.9812363047640394
694,3,0.9812743649977839
695,3,0.9814266059327612
696,3,0.9816169071014829
697,3,0.9816169071014827
698,3,0.9815407866339945
699,3,0.9812363047640397
700,3,0.9814646661665056
701,3,0.981388545699017
702,3,0.9812363047640397
703,3,0.9814266059327613
704,3,0.9813885456990171
705,3,0.9816930275689718
706,3,0.9815788468677391
707,3,0.981693027568972
708,3,0.9816169071014834
709,3,0.9815788468677391
710,3,0.9816930275689719
711,3,0.9815027264002502
712,3,0.9814646661665061
713,3,0.981578846867739
714,3,0.9816169071014835
715,3,0.9816169071014834
716,3,0.9815027264002505
717,3,0.9814266059327619
718,3,0.9814646661665062
719,3,0.981426605932762
720,3,0.9816549673352278
721,3,0.9815407866339949
722,3,0.9815027264002505
723,3,0.9815027264002505
724,3,0.9815027264002505
725,3,0.9816549673352277
726,3,0.9816549673352277
727,3,0.981693027568972
728,3,0.9815407866339946
729,3,0.9815027264002504
730,3,0.9812743649977843
731,3,0.9813885456990173
732,3,0.9813885456990175
733,3,0.9813124252315287
734,3,0.9813124252315287
735,3,0.9812363047640401
736,3,0.9808176421928521
737,3,0.9809698831278295
738,3,0.9809698831278294
739,3,0.9811221240628067
740,3,0.9811601842965509
741,3,0.9807795819591074
742,3,0.9809318228940849
743,3,0.980931822894085
744,3,0.9810079433615736
745,3,0.980817642192852
746,3,0.9807795819591077
747,3,0.9810460035953181
748,3,0.9811601842965512
749,3,0.981388545699017
750,3,0.9813124252315283
751,3,0.9809698831278295
752,3,0.9812363047640398
753,3,0.9812743649977841
754,3,0.9813124252315284
755,3,0.9813504854652728
756,3,0.9814266059327615
757,3,0.9813504854652726
758,3,0.9812743649977839
759,3,0.9811601842965509
760,3,0.9812363047640398
761,3,0.9810840638290625
762,3,0.9808557024265965
763,3,0.9810079433615736
764,3,0.9810079433615736
765,3,0.9807795819591075
766,3,0.9809698831278293
767,3,0.9806654012578747
768,3,0.980246738686687
769,3,0.9805131603228971
770,3,0.9808557024265963
771,3,0.9808176421928518
772,3,0.981046003595318
773,3,0.981046003595318
774,3,0.9808557024265965
775,3,0.9807034614916189
776,3,0.9807415217253631
777,3,0.9807415217253633
778,3,0.9806273410241303
779,3,0.9807034614916188
780,3,0.9805892807903861
781,3,0.9805131603228973
782,3,0.9806654012578747
783,3,0.9806654012578747
784,3,0.9805892807903861
785,3,0.9807415217253634
786,3,0.9806273410241304
787,3,0.9807034614916191
788,3,0.9804370398554086
789,3,0.9804370398554085
790,3,0.9803228591541756
791,3,0.9806273410241306
792,3,0.9804370398554089
793,3,0.9803989796216643
794,3,0.9802847989204314
795,3,0.980246738686687
796,3,0.9802847989204312
797,3,0.9802847989204311
798,3,0.9804370398554084
799,3,0.9805131603228971
800,3,0.9804751000891527
801,3,0.9803609193879198
802,3,0.9804370398554085
803,3,0.9802467386866869
804,3,0.9802086784529424
805,3,0.980398979621664
806,3,0.980284798920431
807,3,0.9803609193879197
808,3,0.9805131603228969
809,3,0.980741521725363
810,3,0.9806654012578745
811,3,0.9805892807903859
812,3,0.9809698831278293
813,3,0.9805131603228971
814,3,0.9806654012578743
815,3,0.9810079433615734
816,3,0.9808937626603403
817,3,0.9809318228940846
818,3,0.980741521725363
819,3,0.9805131603228969
820,3,0.9806654012578744
821,3,0.9807795819591072
822,3,0.9806654012578744
823,3,0.9806654012578744
824,3,0.98062734102413
825,3,0.9808937626603403
826,3,0.9809318228940845
827,3,0.980855702426596
828,3,0.9808937626603402
829,3,0.9805892807903857
830,3,0.9806273410241301
831,3,0.9808176421928517
832,3,0.9808176421928517
833,3,0.9810079433615736
834,3,0.9810079433615736
835,3,0.9810840638290623
836,3,0.9807795819591075
837,3,0.9808937626603405
838,3,0.9810079433615734
839,3,0.980969883127829
840,3,0.9806654012578744
841,3,0.9810840638290622
842,3,0.9811601842965508
843,3,0.9808176421928517
844,3,0.980969883127829
845,3,0.9808937626603402
846,3,0.9808937626603403
847,3,0.9807034614916185
848,3,0.980551220556641
849,3,0.9806654012578743
850,3,0.9807034614916186
851,3,0.9807415217253631
852,3,0.9806654012578745
853,3,0.9805512205566413
854,3,0.9804370398554083
855,3,0.9807415217253632
856,3,0.9806654012578745
857,3,0.9806654012578745
858,3,0.9807034614916189
859,3,0.9804751000891526
860,3,0.9805512205566412
861,3,0.9803609193879196
862,3,0.9806273410241302
863,3,0.9808176421928518
864,3,0.9807034614916187
865,3,0.9807034614916188
866,3,0.9807415217253631
867,3,0.9809698831278293
868,3,0.9809698831278291
869,3,0.980969883127829
870,3,0.980969883127829
871,3,0.9808937626603403
872,3,0.9807795819591074
873,3,0.980855702426596
874,3,0.9807034614916187
875,3,0.9807415217253631
876,3,0.9804370398554083
877,3,0.9805512205566415
878,3,0.9804751000891527
879,3,0.9806273410241303
880,3,0.9804751000891527
881,3,0.980513160322897
882,3,0.9805512205566413
883,3,0.9806654012578745
884,3,0.9805892807903859
885,3,0.9807795819591074
886,3,0.9803228591541754
887,3,0.9807795819591074
888,3,0.9808937626603403
889,3,0.980969883127829
890,3,0.9804751000891527
891,3,0.98062734102413
892,3,0.9807795819591071
893,3,0.9809698831278288
894,3,0.9808937626603402
895,3,0.9805892807903857
896,3,0.9804370398554083
897,3,0.980398979621664
898,3,0.9802467386866867
899,3,0.980284798920431
900,3,0.9803609193879197
901,3,0.9804370398554084
902,3,0.9803989796216641
903,3,0.9803609193879199
904,3,0.9802847989204313
905,3,0.9802086784529426
906,3,0.9803228591541754
907,3,0.9803989796216641
908,3,0.9803228591541755
909,3,0.9801706182191982
910,3,0.9802086784529425
911,3,0.9803609193879198
912,3,0.9802086784529425
913,3,0.9803989796216643
914,3,0.9802467386866869
915,3,0.9803609193879198
916,3,0.9803989796216642
917,3,0.980475100089153
918,3,0.980475100089153
919,3,0.9803989796216641
920,3,0.9804370398554084
921,3,0.9803228591541755
922,3,0.9803609193879199
923,3,0.9806654012578747
924,3,0.9807795819591076
925,3,0.9806654012578746
926,3,0.9808557024265965
927,3,0.9806654012578747
928,3,0.9806273410241304
929,3,0.9807795819591076
930,3,0.9808937626603406
931,3,0.9806273410241303
932,3,0.98036091938792
933,3,0.9803609193879198
934,3,0.9806273410241301
935,3,0.9807795819591075
936,3,0.9808937626603403
937,3,0.9808557024265961
938,3,0.9807795819591077
939,3,0.9808937626603406
940,3,0.9809698831278294
941,3,0.980817642192852
942,3,0.9809318228940851
943,3,0.9810079433615736
944,3,0.9810460035953178
945,3,0.9812743649977839
946,3,0.9811221240628065
947,3,0.9810460035953178
948,3,0.9810840638290622
949,3,0.980969883127829
950,3,0.9810840638290621
951,3,0.9811601842965509
952,3,0.981046003595318
953,3,0.9809698831278293
954,3,0.9806654012578747
955,3,0.980931822894085
956,3,0.9809698831278295
957,3,0.9811221240628069
958,3,0.980703461491619
959,3,0.9806654012578747
960,3,0.9808557024265965
961,3,0.9812363047640397
962,3,0.9811982445302952
963,3,0.9811221240628065
964,3,0.9811221240628064
965,3,0.9810840638290622
966,3,0.9811221240628066
967,3,0.9807034614916188
968,3,0.9807034614916189
969,3,0.9807415217253631
970,3,0.9808176421928518
971,3,0.9809698831278293
972,3,0.9809318228940848
973,3,0.9810460035953178
974,3,0.9810079433615735
975,3,0.9810079433615735
976,3,0.9807795819591074
977,3,0.9810079433615736
978,3,0.9809698831278291
979,3,0.9808557024265961
980,3,0.9810079433615735
981,3,0.9808557024265963
982,3,0.9807795819591073
983,3,0.9807795819591075
984,3,0.9809318228940848
985,3,0.9808557024265961
986,3,0.9808557024265963
987,3,0.9807034614916189
988,3,0.9807034614916189
989,3,0.9804751000891526
990,3,0.9804370398554083
991,3,0.9802086784529424
992,3,0.980284798920431
993,3,0.9802467386866867
994,3,0.9804751000891527
995,3,0.9804751000891527
996,3,0.9806273410241302
997,3,0.9807415217253631
998,3,0.9810079433615737
999,3,0.9809318228940849
1000,3,0.9805892807903862
1001,3,0.9805131603228974
1002,3,0.9805131603228973
1003,3,0.9804370398554085
1004,3,0.9802847989204313
1005,3,0.9802467386866869
1006,3,0.9805131603228971
1007,3,0.9802847989204312
1008,3,0.9806654012578747
1009,3,0.9806273410241303
1010,3,0.9805131603228974
1011,3,0.9806273410241303
1012,3,0.9803989796216642
1013,3,0.9801325579854537
1014,3,0.980170618219198
1015,3,0.9801706182191982
1016,3,0.9800944977517094
1017,3,0.9800944977517093
1018,3,0.9800183772842207
1019,3,0.9799422568167321
1020,3,0.9803989796216641
1021,3,0.9801706182191982
1022,3,0.9803989796216641
1023,3,0.9807034614916189
1024,3,0.9805131603228973
1025,3,0.9804370398554084
1026,3,0.980475100089153
1027,3,0.9805131603228973
1028,3,0.9804370398554086
1029,3,0.9802847989204314
1030,3,0.9805512205566418
1031,3,0.9804751000891527
1032,3,0.9810840638290623
1033,3,0.9808557024265963
1034,3,0.9808557024265964
1035,3,0.9808557024265964
1036,3,0.9811221240628069
1037,3,0.9813124252315285
1038,3,0.9811601842965512
1039,3,0.9811221240628067
1040,3,0.9810460035953181
1041,3,0.9807795819591076
1042,3,0.9809698831278294
1043,3,0.9810840638290624
1044,3,0.9810840638290624
1045,3,0.981160184296551
1046,3,0.9810460035953182
1047,3,0.9809698831278295
1048,3,0.9807795819591077
1049,3,0.9805892807903861
1050,3,0.980475100089153
1051,3,0.9806273410241305
1052,3,0.9804751000891531
1053,3,0.9804370398554086
1054,3,0.9804370398554086
1055,3,0.9804751000891531
1056,3,0.9801325579854542
1057,3,0.98036091938792
1058,3,0.9803989796216643
1059,3,0.9805131603228975
1060,3,0.9805512205566419
1061,3,0.9806654012578749
1062,3,0.9804370398554088
1063,3,0.9801706182191985
1064,3,0.9801706182191986
1065,3,0.9802086784529428
1066,3,0.9799803170504766
1067,3,0.9801325579854541
1068,3,0.9800183772842208
1069,3,0.9799041965829878
1070,3,0.9799803170504764
1071,3,0.9800564375179651
1072,3,0.9803228591541755
1073,3,0.9802847989204311
1074,3,0.9805131603228971
1075,3,0.9804370398554084
1076,3,0.9806273410241303
1077,3,0.9806273410241304
1078,3,0.9806654012578747
1079,3,0.9808937626603407
1080,3,0.9805512205566417
1081,3,0.9805512205566418
1082,3,0.9803228591541757
1083,3,0.9803989796216644
1084,3,0.9804751000891532
1085,3,0.9803989796216643
1086,3,0.9803609193879201
1087,3,0.9805131603228974
1088,3,0.980703461491619
1089,3,0.980475100089153
1090,3,0.9807034614916191
1091,3,0.9805892807903861
1092,3,0.9807034614916191
1093,3,0.9804370398554086
1094,3,0.9803228591541754
1095,3,0.980170618219198
1096,3,0.9801325579854537
1097,3,0.9801706182191982
1098,3,0.980246738686687
1099,3,0.9805892807903862
1100,3,0.9804370398554085
1101,3,0.9804751000891527
1102,3,0.980475100089153
1103,3,0.9803989796216642
1104,3,0.9804751000891528
1105,3,0.9803609193879198
1106,3,0.9805512205566413
1107,3,0.9805512205566415
1108,3,0.9805131603228969
1109,3,0.9804751000891526
1110,3,0.9805892807903857
1111,3,0.9807795819591075
1112,3,0.9805131603228968
1113,3,0.9804751000891526
1114,3,0.9802847989204311
1115,3,0.980513160322897
1116,3,0.9805892807903859
1117,3,0.980589280790386
1118,3,0.9806273410241304
1119,3,0.9806273410241303
1120,3,0.980703461491619
1121,3,0.9806273410241303
1122,3,0.9807415217253633
1123,3,0.9808557024265964
1124,3,0.9808176421928521
1125,3,0.9808176421928522
1126,3,0.9805131603228975
1127,3,0.9805131603228976
1128,3,0.9805892807903863
1129,3,0.9805892807903861
1130,3,0.9807034614916192
1131,3,0.9804751000891532
1132,3,0.980893762660341
1133,3,0.9807795819591079
1134,3,0.9807415217253637
1135,3,0.9806273410241305
1136,3,0.9808557024265966
1137,3,0.9807415217253634
1138,3,0.9807415217253636
1139,3,0.9806654012578748
1140,3,0.9805131603228973
1141,3,0.9807795819591079
1142,3,0.9807795819591077
1143,3,0.9807034614916191
1144,3,0.9806654012578747
1145,3,0.9805131603228971
1146,3,0.9805512205566412
1147,3,0.9806654012578743
1148,3,0.9804751000891526
1149,3,0.9806654012578743
1150,3,0.9805892807903857
1151,3,0.9806654012578745
1152,3,0.980741521725363
1153,3,0.9805512205566415
1154,3,0.9804370398554084
1155,3,0.9803228591541755
1156,3,0.9803989796216642
1157,3,0.9805131603228971
1158,3,0.9803609193879199
1159,3,0.9802086784529426
1160,3,0.98036091938792
1161,3,0.9803989796216642
1162,3,0.9805512205566418
1163,3,0.9808176421928521
1164,3,0.9805512205566417
1165,3,0.9806654012578747
1166,3,0.9806654012578745
1167,3,0.9805131603228974
1168,3,0.9805512205566417
1169,3,0.9803228591541755
1170,3,0.9802847989204312
1171,3,0.9803609193879198
1172,3,0.9800944977517094
1173,3,0.9800183772842206
1174,3,0.9797900158817546
1175,3,0.980056437517965
1176,3,0.979942256816732
1177,3,0.980056437517965
1178,3,0.9802086784529424
1179,3,0.9803228591541754
1180,3,0.9802847989204312
1181,3,0.9805512205566415
1182,3,0.9803609193879198
1183,3,0.9803609193879198
1184,3,0.9803989796216641
1185,3,0.9802847989204312
1186,3,0.9803228591541755
1187,3,0.9802467386866869
1188,3,0.9799803170504764
1189,3,0.9797900158817547
1190,3,0.9797900158817547
1191,3,0.9798280761154992
1192,3,0.9798661363492435
1193,3,0.9801325579854537
1194,3,0.9799041965829878
1195,3,0.9799422568167321
1196,3,0.9801706182191982
1197,3,0.9802847989204312
1198,3,0.9803609193879198
1199,3,0.9805131603228971
1200,3,0.9805131603228973
1201,3,0.9803609193879199
1202,3,0.9801706182191983
1203,3,0.9803609193879199
1204,3,0.9804751000891528
1205,3,0.9805512205566415
1206,3,0.98036091938792
1207,3,0.9803228591541756
1208,3,0.980513160322897
1209,3,0.9806273410241304
1210,3,0.9806273410241304
1211,3,0.9803609193879199
1212,3,0.9803989796216641
1213,3,0.9803989796216642
1214,3,0.9803989796216642
1215,3,0.9806654012578747
1216,3,0.9803609193879199
1217,3,0.9802847989204311
1218,3,0.9804751000891527
1219,3,0.9806654012578747
1220,3,0.9803228591541756
1221,3,0.9803228591541755
1222,3,0.9804370398554085
1223,3,0.9803228591541755
1224,3,0.9806654012578745
1225,3,0.9805512205566415
1226,3,0.9805892807903859
1227,3,0.9805892807903859
1228,3,0.9806273410241302
1229,3,0.9806273410241301
1230,3,0.980703461491619
1231,3,0.980817642192852
1232,3,0.9810840638290624
1233,3,0.9808937626603406
1234,3,0.9807415217253633
1235,3,0.9809698831278296
1236,3,0.9810840638290625
1237,3,0.9809698831278295
1238,3,0.9808937626603407
1239,3,0.9810840638290624
1240,3,0.9810460035953181
1241,3,0.9809698831278294
1242,3,0.9811221240628069
1243,3,0.9812363047640398
1244,3,0.9812363047640398
1245,3,0.9812743649977841
1246,3,0.9815027264002503
1247,3,0.9814266059327615
1248,3,0.9812743649977842
1249,3,0.9811982445302954
1250,3,0.9816169071014832
1251,3,0.9815027264002502
1252,3,0.9815407866339945
1253,3,0.9814646661665059
1254,3,0.9811982445302954
1255,3,0.9811601842965509
1256,3,0.9810079433615737
1257,3,0.9809698831278295
1258,3,0.9810840638290625
1259,3,0.9813124252315286
1260,3,0.9812363047640399
1261,3,0.9811221240628069
1262,3,0.9810079433615739
1263,3,0.9810079433615739
1264,3,0.9809698831278295
1265,3,0.980931822894085
1266,3,0.980931822894085
1267,3,0.9812363047640399
1268,3,0.9811982445302955
1269,3,0.9812743649977842
1270,3,0.9812363047640399
1271,3,0.9813124252315286
1272,3,0.9813504854652728
1273,3,0.9810840638290625
1274,3,0.9811221240628069
1275,3,0.9809698831278295
1276,3,0.9811982445302955
1277,3,0.9812363047640398
1278,3,0.981160184296551
1279,3,0.9814266059327614
1280,3,0.981160184296551
1281,3,0.981160184296551
1282,3,0.9813124252315284
1283,3,0.981160184296551
1284,3,0.9810079433615737
1285,3,0.9810460035953181
1286,3,0.9810460035953182
1287,3,0.9810840638290624
1288,3,0.9810460035953181
1289,3,0.9810079433615737
1290,3,0.9810840638290623
1291,3,0.9809318228940849
1292,3,0.9805512205566413
1293,3,0.9807034614916188
1294,3,0.9808176421928518
1295,3,0.9808176421928518
1296,3,0.9808937626603406
1297,3,0.9808937626603407
1298,3,0.9810079433615738
1299,3,0.9810460035953181
1300,3,0.9808557024265965
1301,3,0.9808557024265964
1302,3,0.9808557024265963
1303,3,0.9807795819591076
1304,3,0.9808176421928521
1305,3,0.9808557024265964
1306,3,0.9810460035953181
1307,3,0.9810079433615737
1308,3,0.9810460035953181
1309,3,0.980817642192852
1310,3,0.9810079433615737
1311,3,0.9808937626603407
1312,3,0.9808937626603405
1313,3,0.9808937626603407
1314,3,0.9810840638290621
1315,3,0.9809698831278293
1316,3,0.9811601842965507
1317,3,0.9808937626603405
1318,3,0.9810460035953179
1319,3,0.9806654012578745
1320,3,0.9809318228940849
1321,3,0.9808557024265964
1322,3,0.9808937626603405
1323,3,0.9809698831278293
1324,3,0.9808557024265963
1325,3,0.9806654012578744
1326,3,0.9809318228940849
1327,3,0.9809698831278291
1328,3,0.9808937626603403
1329,3,0.9809318228940849
1330,3,0.9808937626603405
1331,3,0.980855702426596
1332,3,0.9810460035953178
1333,3,0.9813124252315284
1334,3,0.9811982445302954
1335,3,0.9812363047640397
1336,3,0.9811982445302956
1337,3,0.9811221240628069
1338,3,0.9809318228940851
1339,3,0.9811601842965512
1340,3,0.9810460035953181
1341,3,0.9810840638290625
1342,3,0.9810840638290627
1343,3,0.9810840638290627
1344,3,0.981007943361574
1345,3,0.9809698831278296
1346,3,0.9806654012578748
1347,3,0.9808176421928522
1348,3,0.9807415217253636
1349,3,0.9807415217253634
1350,3,0.980589280790386
1351,3,0.9806273410241304
1352,3,0.9807795819591077
1353,3,0.9807795819591076
1354,3,0.9805512205566415
1355,3,0.980589280790386
1356,3,0.9807034614916189
1357,3,0.9810840638290623
1358,3,0.9811221240628066
1359,3,0.9810840638290623
1360,3,0.9810460035953178
1361,3,0.9810460035953179
1362,3,0.9811601842965508
1363,3,0.980969883127829
1364,3,0.9810079433615735
1365,3,0.980969883127829
1366,3,0.9811221240628065
1367,3,0.9810840638290622
1368,3,0.9811601842965508
1369,3,0.9809698831278293
1370,3,0.9808176421928518
1371,3,0.9807415217253631
1372,3,0.9808557024265959
1373,3,0.9808557024265958
1374,3,0.9807415217253628
1375,3,0.9807415217253629
1376,3,0.9807795819591072
1377,3,0.9807795819591071
1378,3,0.9810079433615733
1379,3,0.9810079433615734
1380,3,0.9807795819591073
1381,3,0.9808176421928516
1382,3,0.9807795819591073
1383,3,0.9810079433615735
1384,3,0.9808557024265959
1385,3,0.9807415217253629
1386,3,0.980741521725363
1387,3,0.9807795819591073
1388,3,0.9808937626603403
1389,3,0.9807795819591072
1390,3,0.98062734102413
1391,3,0.9808176421928516
1392,3,0.9809318228940846
1393,3,0.9809318228940846
1394,3,0.9808176421928515
1395,3,0.9808176421928516
1396,3,0.980969883127829
1397,3,0.9808937626603402
1398,3,0.9808176421928517
1399,3,0.9804751000891526
1400,3,0.9806654012578743
1401,3,0.9808937626603403
1402,3,0.9808176421928516
1403,3,0.9806654012578742
1404,3,0.9806654012578743
1405,3,0.9806273410241301
1406,3,0.9805892807903857
1407,3,0.9805512205566413
1408,3,0.9803228591541754
1409,3,0.9807034614916189
1410,3,0.980589280790386
1411,3,0.9804751000891527
1412,3,0.9804751000891527
1413,3,0.9805892807903858
1414,3,0.9805512205566413
1415,3,0.980513160322897
1416,3,0.9807415217253631
1417,3,0.9804751000891527
1418,3,0.9804751000891527
1419,3,0.980513160322897
1420,3,0.9807795819591076
1421,3,0.9805892807903859
1422,3,0.9807415217253631
1423,3,0.9805512205566415
1424,3,0.9804370398554084
1425,3,0.9802847989204311
1426,3,0.9803228591541753
1427,3,0.980513160322897
1428,3,0.9806273410241301
1429,3,0.9807415217253631
1430,3,0.9805892807903857
1431,3,0.9806273410241301
1432,3,0.9807034614916188
1433,3,0.9805512205566413
1434,3,0.9807034614916188
1435,3,0.9808176421928517
1436,3,0.9807795819591076
1437,3,0.9807415217253633
1438,3,0.9805512205566415
1439,3,0.9806273410241302
1440,3,0.9807795819591076
1441,3,0.9805892807903859
1442,3,0.9806273410241302
1443,3,0.9807795819591077
1444,3,0.9810079433615737
1445,3,0.9810460035953181
1446,3,0.9809318228940851
1447,3,0.9807795819591077
1448,3,0.9808176421928521
1449,3,0.9808176421928521
1450,3,0.9806654012578747
1451,3,0.9808176421928521
1452,3,0.9808557024265964
1453,3,0.9806654012578747
1454,3,0.9806654012578747
1455,3,0.9805892807903861
1456,3,0.9803609193879198
1457,3,0.9805131603228973
1458,3,0.980475100089153
1459,3,0.9803989796216642
1460,3,0.9802847989204313
1461,3,0.9803228591541755
1462,3,0.9805131603228975
1463,3,0.9805892807903862
1464,3,0.9803228591541756
1465,3,0.9804370398554085
1466,3,0.9805512205566415
1467,3,0.980475100089153
1468,3,0.9806273410241303
1469,3,0.9806273410241303
1470,3,0.9808937626603407
1471,3,0.9808557024265963
1472,3,0.980817642192852
1473,3,0.980931822894085
1474,3,0.9807795819591075
1475,3,0.9807795819591076
1476,3,0.9810460035953181
1477,3,0.9808937626603407
1478,3,0.9808176421928521
1479,3,0.9810079433615738
1480,3,0.9810079433615738
1481,3,0.9810840638290623
1482,3,0.9811221240628067
1483,3,0.9808937626603408
1484,3,0.9809318228940851
1485,3,0.9807795819591077
1486,3,0.9807415217253634
1487,3,0.9808937626603407
1488,3,0.9807034614916189
1489,3,0.9809318228940849
1490,3,0.9807795819591076
1491,3,0.9808937626603408
1492,3,0.9808937626603406
1493,3,0.9807415217253632
1494,3,0.9807415217253631
1495,3,0.9807795819591074
1496,3,0.9809318228940849
1497,3,0.9805512205566415
1498,3,0.9806273410241302
1499,3,0.9805512205566413
1500,3,0.9804751000891528
1501,3,0.980589280790386
1502,3,0.980589280790386
1503,3,0.9806273410241303
1504,3,0.9806654012578746
1505,3,0.980703461491619
1506,3,0.9806273410241304
1507,3,0.980551220556642
1508,3,0.980665401257875
1509,3,0.9806654012578748
1510,3,0.9807034614916192
1511,3,0.9807415217253634
1512,3,0.9802847989204315
1513,3,0.9803228591541757
1514,3,0.9803609193879201
1515,3,0.9803989796216642
1516,3,0.9803989796216643
1517,3,0.9806273410241306
1518,3,0.9805512205566419
1519,3,0.9807415217253636
1520,3,0.9808557024265965
1521,3,0.9808176421928523
1522,3,0.9807415217253634
1523,3,0.9805512205566419
1524,3,0.9806273410241305
1525,3,0.9808176421928521
1526,3,0.9805892807903861
1527,3,0.980779581959108
1528,3,0.9809318228940854
1529,3,0.9808557024265966
1530,3,0.980779581959108
1531,3,0.9807034614916194
1532,3,0.9807415217253638
1533,3,0.9809698831278298
1534,3,0.9808557024265968
1535,3,0.980893762660341
1536,3,0.9808937626603409
1537,3,0.9808176421928523
1538,3,0.9809318228940854
1539,3,0.9808176421928523
1540,3,0.9807415217253636
1541,3,0.9807415217253637
